"open_dataset_id","dataset_name_title","agency","posting_frequency","description","status","plan_submission_date","nys_url","catalog_category","plan_submission_date_notes"
"251","MTA Metro-North On-Time Performance: Beginning 2020","MNR","Monthly","Determines how frequently a commuter train arrives at its final destination within 5 minutes and 59 seconds of its scheduled time, broken down by branch/line, time period, and systemwide metrics.","Published","Complete","https://data.ny.gov/d/83hw-i6xw","1. Operational metrics and data",
"252","MTA Metro-North Service Reliability: Beginning 2020","MNR","Monthly","Service Reliability evaluates MNR's performance delivering timely and effective service to its customers based on a variety of metrics.","Published","Complete","https://data.ny.gov/d/sguy-yhj4","1. Operational metrics and data",
"253","Metro-North Elevator and Escalator Availability","MNR","Monthly","Represents the percent of the time that elevators and escalators are operational systemwide.","Published","Complete","https://data.ny.gov/d/ax67-8386","3. Accessibility",
"254","Metro-North Lost Time Rates: Beginning 2019","MNR","Monthly","Provides the rate of reportable job-related injuries resulting in lost work time, used to monitor and manage workplace safety.","Published","Complete","https://data.ny.gov/d/v7rp-a6ru","4. Safety / security",
"255","Metro-North workplace violence, harassment, and assaults involving employees","MNR","TBD","Reflects the number of MTA Police Department-reported incidents of select types of criminal activity within the LIRR and Metro-North Railroad systems.","Planned","Q4 2023",,"4. Safety / security",
"258","MTA Subway and Bus Mask Compliance Statistics: 2020 - 2022","Subway,Bus","Static - Not Updated","Provides subway and bus mask compliance statistics from MTA surveys that took place between June 2020 and April 2022.","Published","Complete","https://data.ny.gov/d/ijxr-nffj","11. Miscellaneous",
"260","Metropolitan Transportation Authority (MTA) Performance Indicators per Agency: Beginning 2008","Subway,Bus,AAR,LIRR,MNR,B&T","Static - Not Updated","This information comes from the MTA�s Performance Dashboard and is used to increase transparency at the MTA. The Key Performance Indicators (KPI) are used to track performance is areas such as On Time Performance.","Published","Complete","https://data.ny.gov/d/cy9b-i9w9","1. Operational metrics and data",
"261","MTA Bus Customer Journey-Focused Metrics: Beginning 2020","Bus","Monthly","Measures the quality of the customer experience based on several bus journey-focused metrics, including the estimated average extra time that customers spend waiting at a bus stop or onboard a bus, as well as the estimated percentage of customer trips with a total travel time within five minutes of the scheduled time.","Published","Complete","https://data.ny.gov/d/wrt8-4b59","1. Operational metrics and data",
"262","MTA Bus Wait Assessment: Beginning 2020","Bus","Monthly","This dataset reflects a legacy metric that measures how evenly buses are spaced.","Published","Complete","https://data.ny.gov/d/swky-c3v4","1. Operational metrics and data",
"263","MTA Bus Service Delivered: Beginning 2020","Bus","Monthly","Service Delivered measures the percentage of scheduled bus service that is actually provided during peak hours.","Published","Complete","https://data.ny.gov/d/2e6s-9gpm","1. Operational metrics and data",
"264","MTA Subway Service Delivered: Beginning 2020","Subway","Monthly","Service Delivered measures New York City Transit's ability to deliver the amount scheduled subway service and capacity during peak hours.","Published","Complete","https://data.ny.gov/d/bg59-42xi","1. Operational metrics and data",
"265","MTA Subway Major Incidents: Beginning 2020","Subway","Monthly","Major Incidents are incidents that delay 50 or more trains, which cause the most disruption to customers.","Published","Complete","https://data.ny.gov/d/j6d2-s8m2","1. Operational metrics and data",
"266","MTA Bus Speeds: Beginning 2020","Bus","Monthly","Measures how quickly buses travel along their routes, calculated as a bus’s average end-to-end speed along a route using Bus Time data.","Published","Complete","https://data.ny.gov/d/6ksi-7cxr","1. Operational metrics and data",
"267","MTA Subway Customer Journey-Focused Metrics: Beginning 2020","Subway","Monthly","Measures the quality of the customer experience based on several subway journey-focused metrics, including the estimated average extra time that customers spend waiting on the platform or onboard a train, as well as the estimated percentage of customer trips with a total travel time within five minutes of the scheduled time.","Published","Complete","https://data.ny.gov/d/4apg-4kt9","1. Operational metrics and data",
"268","MTA Subway Wait Assessment: Beginning 2020","Subway","Monthly","This dataset reflects a legacy metric that measures how regularly subway trains are spaced during peak hours at selected timepoints on each line.","Published","Complete","https://data.ny.gov/d/6b7q-snec","1. Operational metrics and data",
"269","MTA Subway Terminal On-Time Performance: Beginning 2020","Subway","Monthly","This dataset reflects a legacy metric that measures the percentage of trains arriving at their destination within five minutes of their scheduled arrival times.","Published","Complete","https://data.ny.gov/d/vtvh-gimj","1. Operational metrics and data",
"271","Incidents of major crime on Metro-North","MNR","TBD","Reflects the number of MTA Police Department-reported incidents of select types of criminal activity within the LIRR and Metro-North Railroad systems.","Planned","Q3 2023",,"4. Safety / security",
